candidate_id,base_mode,variant,cadence_bars,overrides,definition_hash,changed_components,native_cadences,weighted_gross_exposure,weighted_target_allocation,max_order_value_sum,full_gate_pass,full_gate_reasons,train_status,train_trade_count,train_liquidation_count,train_wall_seconds,train_final_equity,train_total_return,train_cagr,train_sharpe,train_sortino,train_calmar,train_max_drawdown,train_volatility,train_raw_total_return,train_raw_max_drawdown,train_min_equity,train_raw_final_equity,train_equity_breach_count,train_equity_breach_observed,val_status,val_trade_count,val_liquidation_count,val_wall_seconds,val_final_equity,val_total_return,val_cagr,val_sharpe,val_sortino,val_calmar,val_max_drawdown,val_volatility,val_raw_total_return,val_raw_max_drawdown,val_min_equity,val_raw_final_equity,val_equity_breach_count,val_equity_breach_observed,oos_status,oos_trade_count,oos_liquidation_count,oos_wall_seconds,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_volatility,oos_raw_total_return,oos_raw_max_drawdown,oos_min_equity,oos_raw_final_equity,oos_equity_breach_count,oos_equity_breach_observed
profit_moonshot_adaptive_momentum_boost_mode__cadence_1b,profit_moonshot_adaptive_momentum_boost_mode,cadence_1b,1,{'profit_reboot_adaptive_momentum_boost': {'rebalance_bars': 1}},78e1a9079f1762b519a9adac520ebea6064e48c529123f3291a300b2f675f0b2,1,[72],0.0075,0.0,300.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,16,0,1.1666491289997794,10008.921427958816,0.0009126067958815653,0.00015975705244475336,0.1074917672804689,0.08642454869227514,0.05655593080554294,0.0028247621455307365,0.001496517764777534,0.0009126067958815653,0.0028247621455307365,0.0,10008.921427958816,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_adaptive_momentum_140_mode__cadence_1b,profit_moonshot_adaptive_momentum_140_mode,cadence_1b,1,{'profit_moonshot_adaptive_momentum_140': {'rebalance_bars': 1}},7063402bc12fefe3effafea13131da5ab9ff86a5e30a23eb1aff0c29fd0a5b6f,1,[72],0.007,0.0,280.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,16,0,1.3488111560000107,10008.36158797664,0.0008553687976637914,0.00014974074506413082,0.10759057375589998,0.08650715673184665,0.05662213589430517,0.002644561931461705,0.001400773022891245,0.0008553687976637914,0.002644561931461705,0.0,10008.36158797664,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_adaptive_momentum_governed_mode__cadence_1b,profit_moonshot_adaptive_momentum_governed_mode,cadence_1b,1,{'profit_moonshot_adaptive_momentum_governed': {'rebalance_bars': 1}},9bf83e14c6c64687f52fe6c9aa5df16d00c3d5f0419c8a9873abd011d01c8dd3,1,[96],0.007,0.0,280.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,16,0,1.5714713449997362,10008.36158797664,0.0008553687976637914,0.00014974074506413082,0.10759057375589998,0.08650715673184665,0.05662213589430517,0.002644561931461705,0.001400773022891245,0.0008553687976637914,0.002644561931461705,0.0,10008.36158797664,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_adaptive_momentum_130_mode__cadence_1b,profit_moonshot_adaptive_momentum_130_mode,cadence_1b,1,{'profit_moonshot_adaptive_momentum_130': {'rebalance_bars': 1}},2787c36776b42924ae3ab35cd10db4d8136865187e19a2de84d06f3a7ae1dfc9,1,[72],0.0065,0.0,260.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,16,0,1.135432574999868,10007.80173129059,0.000798131129059243,0.00013972402284712082,0.1077249941578604,0.08662001271260338,0.05670487608260286,0.0024640565767850846,0.001304850581455191,0.000798131129059243,0.0024640565767850846,0.0,10007.80173129059,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_momentum_hybrid_return_mode__cadence_1b,profit_moonshot_momentum_hybrid_return_mode,cadence_1b,1,"{'profit_reboot_adaptive_momentum_boost': {'rebalance_bars': 1}, 'profit_moonshot_adaptive_momentum_vol_target_132': {'rebalance_bars': 1}, 'profit_moonshot_adaptive_momentum_governed': {'rebalance_bars': 1}}",9d20b15c529b8c737196d6cd973ce1857837c91d702072858786013576238227,3,"[72, 96]",0.007424999999999999,0.0,297.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,46,0,2.5455470799997784,10007.657618492069,0.000783395849206947,0.00013714523886521057,0.10611890676659722,0.08510524328448797,0.05591479978307957,0.0024527538218372057,0.0013002451894954387,0.000783395849206947,0.0024527538218372057,0.0,10007.657618492069,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_adaptive_momentum_120_mode__cadence_1b,profit_moonshot_adaptive_momentum_120_mode,cadence_1b,1,{'profit_moonshot_adaptive_momentum_120': {'rebalance_bars': 1}},e3d0a1d4223dbf41cf9b25c34565d3cee243d77ebbf7dad16f5c15da1df420b1,1,[72],0.006,0.0,240.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,16,0,1.1656122980002692,10007.10681478133,0.0007270554781328986,0.00012728496448932702,0.10702772472764126,0.08599329748853571,0.056373842713509315,0.0022578727715296355,0.0011958719144696617,0.0007270554781328986,0.0022578727715296355,0.0,10007.10681478133,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_momentum_hybrid_core_mode__cadence_1b,profit_moonshot_momentum_hybrid_core_mode,cadence_1b,1,"{'profit_reboot_adaptive_momentum_boost': {'rebalance_bars': 1}, 'profit_moonshot_adaptive_momentum_vol_target_132': {'rebalance_bars': 1}, 'profit_moonshot_adaptive_momentum_governed': {'rebalance_bars': 1}, 'profit_moonshot_adaptive_momentum_asym_dynamic': {'rebalance_bars': 1}}",77dfe83865acdfb22380c6ac90ed947936f2efe5dd853d950e104478f8fbf423,4,"[72, 96]",0.007425,0.0,297.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,47,0,2.8015725139994174,10006.918070121774,0.0007081270121773731,0.00012397214183512695,0.10689014573798022,0.08564688746045142,0.0562861596657488,0.0022025333149627963,0.001166093443192015,0.0007081270121773731,0.0022025333149627963,0.0,10006.918070121774,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_momentum_hybrid_safe_mode__cadence_1b,profit_moonshot_momentum_hybrid_safe_mode,cadence_1b,1,"{'profit_reboot_adaptive_momentum_boost': {'rebalance_bars': 1}, 'profit_moonshot_adaptive_momentum_vol_target_132': {'rebalance_bars': 1}, 'profit_moonshot_adaptive_momentum_governed': {'rebalance_bars': 1}, 'profit_moonshot_adaptive_momentum_asym_dynamic': {'rebalance_bars': 1}}",194a8d009cfab80637e2638fed026eb25300f2fa732b51fda3d3a3f6dea2227f,4,"[72, 96]",0.0073999999999999995,0.0,296.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,48,0,3.025647449000644,10006.737948723843,0.0006896468723844862,0.00012073773447163205,0.10762624865512166,0.08636668558371774,0.056675626256686554,0.0021303290752325388,0.0011276602072372733,0.0006896468723844862,0.0021303290752325388,0.0,10006.737948723843,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_adaptive_momentum_vol_target_132_mode__cadence_1b,profit_moonshot_adaptive_momentum_vol_target_132_mode,cadence_1b,1,{'profit_moonshot_adaptive_momentum_vol_target_132': {'rebalance_bars': 1}},6ddaf24eef928585af30c48d400afc20e5e9083918860a606515e527c1a46b58,1,[72],0.0075,0.0,300.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,16,0,0.7786661380005171,10006.02388891578,0.0006174968915781953,0.000108109521205213,0.11118177652749851,0.08889276955974791,0.05835932696921068,0.0018524806028391934,0.0009766010570857332,0.0006174968915781953,0.0018524806028391934,0.0,10006.02388891578,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_adaptive_momentum_mode__cadence_1b,profit_moonshot_adaptive_momentum_mode,cadence_1b,1,{'profit_reboot_adaptive_momentum_balanced': {'rebalance_bars': 1}},74aa6fe9cc1cc3360d51ea1a82d2ac6d4cd918fe93b1ff19102606a1b5dce7ae,1,[72],0.005,0.0,200.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,16,0,0.7838659600001847,10005.842724384896,0.0005975864384895058,0.00010462451697001995,0.10666511992531341,0.08573292742632622,0.0562920380211961,0.0018586024000521145,0.000985366158214078,0.0005975864384895058,0.0018586024000521145,0.0,10005.842724384896,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
