failed_gates,family,filters,name,oos_fills,oos_liquidations,oos_max_drawdown,oos_round_trips,oos_sharpe,oos_sortino,oos_total_return,oos_volatility,reject_top,replay_survivor,success_candidate,train_fills,train_liquidations,train_max_drawdown,train_round_trips,train_sharpe,train_sortino,train_total_return,train_volatility,val_fills,val_liquidations,val_max_drawdown,val_round_trips,val_sharpe,val_sortino,val_total_return,val_volatility
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",residual_reversion,"{""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 18, ""entry_hours"": [0, 1, 2, 13, 14, 15, 16, 20, 21], ""family"": ""residual_reversion"", ""flow_lookback_bars"": 0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 72, ""lookback_bars"": 24, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.004, ""name"": ""fresh_resid_rev_lb24_z175_h72_asia_us"", ""rv_lookback_bars"": 24, ""stop_loss_pct"": 0.018, ""take_profit_pct"": 0.035, ""target_allocation"": 0.008, ""threshold"": 1.75}",fresh_resid_rev_lb24_z175_h72_asia_us,44,0,0.0005038377890704681,22,0.9089308695022575,0.9416936039687446,0.0020213566391511506,0.00035173474162188346,"{""cooldown"": 394, ""entry_hour_block"": 338, ""signal_missing"": 178}",False,False,332,0,0.0061193206645900845,166,-0.3718673378803207,-0.2902742861494709,-0.005135421575879318,0.00039812467571735606,46,0,0.0011054414837752841,23,-0.05694622655522799,-0.04754875468003263,-0.00011298142932814059,0.0003522658157215082
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",residual_reversion,"{""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 12, ""entry_hours"": [0, 1, 2, 13, 14, 15, 16, 20, 21], ""family"": ""residual_reversion"", ""flow_lookback_bars"": 0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 48, ""lookback_bars"": 24, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.004, ""name"": ""fresh_resid_rev_lb24_z175_h48_asia_us"", ""rv_lookback_bars"": 24, ""stop_loss_pct"": 0.018, ""take_profit_pct"": 0.035, ""target_allocation"": 0.008, ""threshold"": 1.75}",fresh_resid_rev_lb24_z175_h48_asia_us,50,0,0.00042201404260629687,25,0.8855381815061881,0.900237494334662,0.0018816718240384223,0.00033609992526234463,"{""cooldown"": 288, ""entry_hour_block"": 418, ""signal_missing"": 215}",False,False,396,0,0.008451899949395028,198,-0.5238684328114335,-0.4238083292439861,-0.007756405999511995,0.0004274612436911781,54,0,0.0011139056564334416,27,-0.1915656779396226,-0.16200359324995664,-0.000428491890114846,0.00039802594848420615
"train_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",cross_momentum,"{""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.003, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 32, ""entry_hours"": [], ""family"": ""cross_momentum"", ""flow_lookback_bars"": 0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 96, ""lookback_bars"": 12, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.004, ""name"": ""fresh_xs_mom_lb12_z10_h96"", ""rv_lookback_bars"": 24, ""stop_loss_pct"": 0.015, ""take_profit_pct"": 0.045, ""target_allocation"": 0.008, ""threshold"": 1.0}",fresh_xs_mom_lb12_z10_h96,52,0,0.0005592824109864292,26,0.47840078346568826,0.4165353670836842,0.001307420547055127,0.0004325074228814403,"{""broad_move_missing"": 26, ""cooldown"": 830, ""signal_missing"": 104}",False,False,342,0,0.0065033286545827145,171,-0.42472791492849105,-0.34434448788009997,-0.006332045405291864,0.00043006876757017607,50,0,0.0008353550738643138,25,0.37695565776427187,0.3826596970954758,0.0008858339253301484,0.0004185573707563283
"train_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",residual_reversion,"{""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 18, ""entry_hours"": [], ""family"": ""residual_reversion"", ""flow_lookback_bars"": 0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 72, ""lookback_bars"": 24, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.004, ""name"": ""fresh_resid_rev_lb24_z175_h72_all"", ""rv_lookback_bars"": 24, ""stop_loss_pct"": 0.018, ""take_profit_pct"": 0.035, ""target_allocation"": 0.008, ""threshold"": 1.75}",fresh_resid_rev_lb24_z175_h72_all,42,0,0.00037145207727752187,21,0.6590740192682849,0.7742193225263051,0.0012955405168821876,0.00031102529417123206,"{""cooldown"": 377, ""signal_missing"": 387}",False,False,382,0,0.007818015003404408,191,-0.466681110195416,-0.39727136090169085,-0.006995876288670266,0.00043260356952733165,52,0,0.0005436930732309388,26,0.5173873489651587,0.46070805984984764,0.0012198473180184966,0.00041980278089996675
"train_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",residual_reversion,"{""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 12, ""entry_hours"": [], ""family"": ""residual_reversion"", ""flow_lookback_bars"": 0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 48, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.00514644, ""min_abs_return"": 0.003, ""name"": ""fresh_resid_rev_rvcap5146_lb48_z125"", ""rv_lookback_bars"": 24, ""stop_loss_pct"": 0.015, ""take_profit_pct"": 0.035, ""target_allocation"": 0.008, ""threshold"": 1.25}",fresh_resid_rev_rvcap5146_lb48_z125,52,0,0.0006789171929266164,26,0.6124657741593489,0.6628460486313438,0.0010771549853070272,0.0002783035963148507,"{""cooldown"": 300, ""signal_missing"": 420}",False,False,278,0,0.004515877623411938,139,-0.3813894183227662,-0.3233096255128592,-0.004193642738101744,0.00031688418940289926,42,0,0.0004780233885242706,21,1.0810838321382867,1.2180637363282014,0.0017447972787087984,0.00028721625869541304
"train_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",residual_reversion,"{""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 18, ""entry_hours"": [], ""family"": ""residual_reversion"", ""flow_lookback_bars"": 0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 72, ""lookback_bars"": 24, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.004, ""name"": ""fresh_resid_rev_lb24_z15_h72_all"", ""rv_lookback_bars"": 24, ""stop_loss_pct"": 0.018, ""take_profit_pct"": 0.035, ""target_allocation"": 0.008, ""threshold"": 1.5}",fresh_resid_rev_lb24_z15_h72_all,52,0,0.0004425265245745238,26,0.4898014862588787,0.5618649726492123,0.0010676999678991272,0.0003449910939249383,"{""cooldown"": 467, ""signal_missing"": 270}",False,False,426,0,0.008445953783468761,213,-0.49344181416006605,-0.4340156540836332,-0.00784761160541636,0.0004591505068591737,58,0,0.0009582923834229958,29,0.35719373751480515,0.3269757508481925,0.0008808305148169104,0.0004392466689136537
"train_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",cross_momentum,"{""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.003, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 32, ""entry_hours"": [], ""family"": ""cross_momentum"", ""flow_lookback_bars"": 0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 96, ""lookback_bars"": 12, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.004, ""name"": ""fresh_xs_mom_lb12_z15_h96"", ""rv_lookback_bars"": 24, ""stop_loss_pct"": 0.015, ""take_profit_pct"": 0.045, ""target_allocation"": 0.008, ""threshold"": 1.5}",fresh_xs_mom_lb12_z15_h96,46,0,0.0006185131109106694,23,0.4088305968163064,0.35842673928077157,0.0010402448481510174,0.00040275212780272677,"{""broad_move_missing"": 93, ""cooldown"": 731, ""signal_missing"": 270}",False,False,302,0,0.005814552608139314,151,-0.2573455428382981,-0.21827923112074174,-0.00378097708765468,0.0004231543205423397,52,0,0.0012520891860700394,26,0.06028359830932253,0.05136730461269468,0.00014371923551159682,0.00042605428684862437
"oos_return_beats_incumbent,oos_sharpe_gt_1",residual_reversion,"{""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 12, ""entry_hours"": [], ""family"": ""residual_reversion"", ""flow_lookback_bars"": 0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 48, ""lookback_bars"": 12, ""max_order_value"": 175.0, ""max_rv"": 0.00315652, ""min_abs_return"": 0.003, ""name"": ""fresh_resid_rev_rvcap3156_lb12_z175"", ""rv_lookback_bars"": 24, ""stop_loss_pct"": 0.015, ""take_profit_pct"": 0.035, ""target_allocation"": 0.008, ""threshold"": 1.75}",fresh_resid_rev_rvcap3156_lb12_z175,32,0,0.0002619799041946836,16,0.8692589222342294,0.8086944392966804,0.001040034804860701,0.00018931187484404292,"{""cooldown"": 180, ""signal_missing"": 774}",False,False,150,0,0.0012178903328455661,75,0.03189084892113103,0.02697624620809128,0.0002278980172496503,0.00020624214056177013,38,0,0.0005943939736367141,19,0.26756207314375774,0.2402716536906861,0.00034731285114708577,0.00023123449520796445
"train_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",cross_momentum,"{""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.003, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 16, ""entry_hours"": [], ""family"": ""cross_momentum"", ""flow_lookback_bars"": 0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 48, ""lookback_bars"": 6, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.004, ""name"": ""fresh_xs_mom_lb6_z125_h48"", ""rv_lookback_bars"": 24, ""stop_loss_pct"": 0.015, ""take_profit_pct"": 0.045, ""target_allocation"": 0.008, ""threshold"": 1.25}",fresh_xs_mom_lb6_z125_h48,80,0,0.0013277268781596617,40,0.34696047494781945,0.41267610672356464,0.001006386839361273,0.0004592100914832186,"{""broad_move_missing"": 87, ""cooldown"": 639, ""signal_missing"": 82}",False,False,474,0,0.007440865632029864,237,-0.3510610699168993,-0.3540256800054735,-0.0064007209855010405,0.0005258484576343498,74,0,0.001046540128966999,37,0.0631677470803876,0.06332822494838558,0.00017470455833201726,0.0004944437205836945
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",residual_reversion,"{""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 12, ""entry_hours"": [], ""family"": ""residual_reversion"", ""flow_lookback_bars"": 0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 48, ""lookback_bars"": 12, ""max_order_value"": 175.0, ""max_rv"": 0.00315652, ""min_abs_return"": 0.003, ""name"": ""fresh_resid_rev_rvcap3156_lb12_z125"", ""rv_lookback_bars"": 24, ""stop_loss_pct"": 0.015, ""take_profit_pct"": 0.035, ""target_allocation"": 0.008, ""threshold"": 1.25}",fresh_resid_rev_rvcap3156_lb12_z125,44,0,0.0006650538853613799,22,0.5276843131887496,0.5004055233650684,0.0008644035339122613,0.0002592501045322497,"{""cooldown"": 252, ""signal_missing"": 595}",False,False,190,0,0.002237013522637417,95,-0.10764124775381528,-0.10151968738395428,-0.0008960895832010873,0.00023934857237076462,42,0,0.0011355555312535174,21,-0.7923195494315762,-0.6982496902228665,-0.0009994296800747149,0.0002247250003363518
